DATE,unemployment_rate
1960-01-01,6.17590466141146
1960-02-01,5.78049874000897
1960-03-01,6.20167027528611
1960-04-01,5.26507615909125
1960-05-01,4.92708693885536
1960-06-01,5.95304393704018
1960-07-01,5.55849811676083
1960-08-01,5.34506990161994
1960-09-01,4.8243126250112
1960-10-01,5.1350704520298
1960-11-01,5.7291200429684
1960-12-01,6.51002468541152
1961-01-01,7.83370268055008
1961-02-01,8.28416652834573
1961-03-01,7.84530882859153
1961-04-01,7.05578574431034
1961-05-01,6.68955982696339
1961-06-01,7.44138339521244
1961-07-01,6.99937453635689
1961-08-01,6.26872214510119
1961-09-01,5.77920916085167
1961-10-01,5.50960926750603
1961-11-01,5.65743327587232
1961-12-01,5.87899457624063
1962-01-01,6.79495162735598
1962-02-01,6.52203451243263
1962-03-01,6.29130121350475
1962-04-01,5.57618024138398
1962-05-01,5.10681949957629
1962-06-01,5.92424638818639
1962-07-01,5.43704891740176
1962-08-01,5.38662790697674
1962-09-01,4.89795918367347
1962-10-01,4.57067993464148
1962-11-01,5.28150292432209
1962-12-01,5.36517312515769
1963-01-01,6.68928817004993
1963-02-01,6.99040358345323
1963-03-01,6.33165532411166
1963-04-01,5.66579710994519
1963-05-01,5.53940943966519
1963-06-01,6.32734729916404
1963-07-01,5.76159223245683
1963-08-01,5.22321684742067
1963-09-01,4.88749619184402
1963-10-01,4.74060177501984
1963-11-01,5.36894352581306
1963-12-01,5.3437559136498
1964-01-01,6.46696035242291
1964-02-01,6.26430497849698
1964-03-01,5.93902580795164
1964-04-01,5.31370406578872
1964-05-01,4.86189261955298
1964-06-01,6.04349644500209
1964-07-01,5.00364308933976
1964-08-01,4.82948557617997
1964-09-01,4.50381025772754
1964-10-01,4.38625204582651
1964-11-01,4.58166479029799
1964-12-01,4.7598627787307
1965-01-01,5.55732116029123
1965-02-01,5.80453757184011
1965-03-01,5.09739981120741
1965-04-01,4.75886796196307
1965-05-01,4.36850968285153
1965-06-01,5.39986329460014
1965-07-01,4.53331516555389
1965-08-01,4.22202376863365
1965-09-01,3.89173989455185
1965-10-01,3.67338400390489
1965-11-01,3.88655608721733
1965-12-01,3.76594169495314
1966-01-01,4.46711568938193
1966-02-01,4.23496495591228
1966-03-01,4.0743347881177
1966-04-01,3.68799866093846
1966-05-01,3.76542442205917
1966-06-01,4.68951266638042
1966-07-01,3.95436345862849
1966-08-01,3.667172823414
1966-09-01,3.32191168173499
1966-10-01,3.25566767850794
1966-11-01,3.38302361990334
1966-12-01,3.4848009172684
1967-01-01,4.22578058021516
1967-02-01,4.27246966904179
1967-03-01,3.94756791774062
1967-04-01,3.50687407569699
1967-05-01,3.2583238601345
1967-06-01,4.67748318163831
1967-07-01,4.16666666666667
1967-08-01,3.77782745335244
1967-09-01,3.7958519832789
1967-10-01,3.80944753667294
1967-11-01,3.74734763054996
1967-12-01,3.50703943417629
1968-01-01,4.0572402044293
1968-02-01,4.28081500907807
1968-03-01,3.80423827888789
1968-04-01,3.19511540526033
1968-05-01,2.9710231894494
1968-06-01,4.51879825228453
1968-07-01,4.03132474346115
1968-08-01,3.51027397260274
1968-09-01,3.37575138334152
1968-10-01,3.2247828328904
1968-11-01,3.26491923274398
1968-12-01,3.0680905415904
1969-01-01,3.70981258064087
1969-02-01,3.73195278743809
1969-03-01,3.50258549229615
1969-04-01,3.23514767158468
1969-05-01,2.95108617276505
1969-06-01,4.21445280394512
1969-07-01,3.91267757778252
1969-08-01,3.54237865240804
1969-09-01,3.72153495616802
1969-10-01,3.52614896988906
1969-11-01,3.38517021766376
1969-12-01,3.26289700283619
1970-01-01,4.28586155352817
1970-02-01,4.73043077277793
1970-03-01,4.6195652173913
1970-04-01,4.39327085691034
1970-05-01,4.18620654500968
1970-06-01,5.65876706906788
1970-07-01,5.39700030609122
1970-08-01,5.11693921629127
1970-09-01,5.29754635982526
1970-10-01,5.21305700258592
1970-11-01,5.57943121940282
1970-12-01,5.62253507064051
1971-01-01,6.62843374703528
1971-02-01,6.67818725972676
1971-03-01,6.3600696925256
1971-04-01,5.7463498855234
1971-05-01,5.39002134538328
1971-06-01,6.61807722308892
1971-07-01,6.33599538150678
1971-08-01,6.01806021681918
1971-09-01,5.86859948562076
1971-10-01,5.50094148142714
1971-11-01,5.74385542461722
1971-12-01,5.60946803199844
1972-01-01,6.56132081231912
1972-02-01,6.49301623254058
1972-03-01,6.22588798722895
1972-04-01,5.58042736490574
1972-05-01,5.16966934375226
1972-06-01,6.28680473442055
1972-07-01,5.94670635012905
1972-08-01,5.57155684084098
1972-09-01,5.4521434862298
1972-10-01,5.19116307138885
1972-11-01,4.97384058142563
1972-12-01,4.80947708168308
1973-01-01,5.54404455356608
1973-02-01,5.69540032457148
1973-03-01,5.28421325112662
1973-04-01,4.88120138187117
1973-05-01,4.43826552161059
1973-06-01,5.45551569099414
1973-07-01,5.09679166102613
1973-08-01,4.75350509832484
1973-09-01,4.76234382923793
1973-10-01,4.28249865743439
1973-11-01,4.60017785074218
1973-12-01,4.61505111354509
1974-01-01,5.70992261234988
1974-02-01,5.83200796366008
1974-03-01,5.40056163101299
1974-04-01,4.9009623416599
1974-05-01,4.70513287222424
1974-06-01,5.93823178544603
1974-07-01,5.76021726751062
1974-08-01,5.36935742306205
1974-09-01,5.7967610611551
1974-10-01,5.5838185036346
1974-11-01,6.31539070073204
1974-12-01,6.81233933161954
1975-01-01,9.10363048126546
1975-02-01,9.2455754199982
1975-03-01,9.26675010056765
1975-04-01,8.6579020979021
1975-05-01,8.39370166360652
